horaEjecucion,dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,java,sleep,perf,mosquitto
16:05:34.467138359,250046,4574500,1170059,546931,38777153,9210933,140212,3.716,3772943,2053635,33.66,8.48,0.47,11.62
16:05:36.785493214,94721,2187160,1269279,629754,37556953,8267114,128349,3.765,3408738,1819529,31.24,10.47,0.27,9.45
16:05:39.104541961,95156,2227933,1326548,666818,146644205,41713613,446269,2.623,17016198,8307528,31.11,13.53,0.33,13.28
16:05:41.443182711,131772,3034077,1287929,609709,407355370,68066996,680549,2.602,26159588,12468712,30.85,7.77,0.62,8.96
16:05:43.776729082,92846,2107169,1195879,564284,41562348,9180564,147918,3.883,3809180,2015302,29.91,13.47,0.37,11.16
16:05:46.111789705,112750,2479180,1324911,635769,37110643,8567092,134903,3.825,3527191,1891615,33.30,8.80,0.55,10.85
16:05:48.475259074,3251577,59507008,24242979,12439392,810262039,146041757,3693019,5.795,63723929,31708158,17.23,0.56,0.04,0.48
16:05:50.908050590,100468,2261591,1207338,573345,41521029,9027855,149332,3.935,3795379,1971820,30.25,9.05,0.52,14.82
16:05:53.372953683,97539,2225756,1263211,623208,35425264,8234222,122332,3.653,3348535,1825749,49.71,4.20,0.28,6.45
16:05:55.725308595,97765,2127605,1377175,647152,38389523,8596087,129924,3.675,3534879,1888300,33.27,7.83,0.45,9.97
16:05:58.090271866,100840,2369462,1360362,659285,69011891,14857678,286232,4.034,7094734,3131079,34.71,11.99,0.42,8.80
16:06:00.463011716,118068,2633434,2198152,1093635,38608180,8929456,136658,3.745,3648717,1946925,27.43,10.28,0.52,9.34
16:06:02.811163263,261004,4706790,1083665,518109,45977239,10494259,156218,3.573,4372052,2329907,32.26,10.69,0.24,8.75
16:06:05.145945870,108623,2431423,1311237,584117,40281958,9310969,141375,3.690,3830950,2097711,31.82,12.85,0.48,12.31
