hora,cpu
18:02:05.677950046,3.6
18:02:06.763505936,3.9
18:02:07.873692114,3
18:02:08.930374036,3.6
18:02:10.034504200,4.2
18:02:11.115766220,4.8
18:02:12.219728452,5.1
18:02:13.289828833,2.1
18:02:14.369273398,9.1
18:02:15.482620792,49.5
18:02:16.567681919,53.9
18:02:17.640552260,52.6
18:02:18.759427901,52.8
18:02:19.842288079,7.7
18:02:20.932834974,2.7
18:02:22.017531413,3.9
18:02:23.078974870,3
18:02:24.161736956,3.3
18:02:25.263326812,2.4
18:02:26.323521679,3.6
18:02:27.430185434,2.7
18:02:28.509153195,3
18:02:29.590633766,3.6
18:02:30.656689514,3.6
18:02:31.743210287,3
18:02:32.823933627,4.2
18:02:33.884608192,2.1
18:02:34.966421850,5.4
18:02:36.070561379,47.2
18:02:37.179930410,51.4
18:02:38.253034671,47.1
18:02:39.326501095,53.6
18:02:40.477393783,15.1
18:02:41.538738986,3
18:02:42.590001822,5.1
18:02:43.659673094,2.1
18:02:44.738998861,3
18:02:45.823530223,1.8
18:02:46.898111772,3.3
18:02:47.978207356,1.8
18:02:49.059582142,3
18:02:50.162371951,3.3
18:02:51.233304600,3.3
18:02:52.313551633,6.6
18:02:53.345420931,2.7
18:02:54.397619827,5.7
18:02:55.504185468,1.5
18:02:56.581909711,55.5
18:02:57.682802324,54.9
18:02:58.836464994,58
18:02:59.982909491,54.7
18:03:01.110730498,57.1
18:03:02.372170027,18.6
18:03:03.422128102,7.1
18:03:04.475752175,8.8
18:03:05.560855006,5.4
18:03:06.645510357,7.2
18:03:07.699829721,6.3
18:03:08.815989113,1.8
18:03:09.894438335,2.1
18:03:10.975571722,3
18:03:12.055046419,3.3
18:03:13.127130135,1.8
18:03:14.210847890,5.1
18:03:15.327858994,3.3
18:03:16.412980144,3.6
18:03:17.489139571,9.7
18:03:18.583930703,51.3
18:03:19.693214074,54
18:03:20.763586911,52.7
18:03:21.835843696,45.6
18:03:22.909280466,12.5
18:03:24.018630343,3
18:03:25.089817923,2.7
18:03:26.155808191,3
18:03:27.238887336,3.9
18:03:28.321411762,2.4
18:03:29.385001881,3.6
18:03:30.468134959,1.5
18:03:31.553958711,3.9
18:03:32.617898599,4.5
18:03:33.691672820,2.4
18:03:34.746765497,4.5
18:03:35.829158231,3
18:03:36.928724057,2.4
18:03:38.009642976,2.1
18:03:39.071729831,54.5
18:03:40.194429367,53.6
18:03:41.270373477,48.7
18:03:42.367439252,46.1
18:03:43.505836030,13.9
18:03:44.587528496,3.3
18:03:45.641396639,3.3
18:03:46.720289344,4.2
18:03:47.806863964,2.1
18:03:48.860691096,2.4
18:03:49.943365372,1.2
18:03:51.027191924,4.2
18:03:52.087336534,1.8
18:03:53.169563594,3.6
18:03:54.255076334,5.4
18:03:55.357317364,2.4
18:03:56.419462778,2.1
18:03:57.502310160,1.8
18:03:58.588821663,2.1
18:03:59.652082950,59.3
18:04:00.759563324,55.6
18:04:01.895424267,52.7
18:04:03.092190934,50.5
18:04:04.276127311,38.4
18:04:05.515611240,13.9
18:04:06.604226742,8
18:04:07.721544376,4.8
18:04:08.804871557,3.9
18:04:09.889746695,5.4
18:04:10.952873719,5.4
18:04:12.034332688,2.4
18:04:13.114495267,2.4
18:04:14.198171078,3
18:04:15.270658497,3.9
18:04:16.358918307,2.7
18:04:17.441341901,3.3
18:04:18.506456015,1.2
18:04:19.592031670,3.3
18:04:20.643492193,51.8
18:04:21.743221140,49.4
18:04:22.839898684,52.8
18:04:23.923850377,45.5
18:04:25.042941013,15.2
18:04:26.118351810,3
18:04:27.177076468,2.7
18:04:28.261791405,2.4
18:04:29.320035962,4.2
18:04:30.399630033,1.8
18:04:31.478865223,3.3
18:04:32.550169707,4.5
18:04:33.630386160,3
18:04:34.712711409,3.3
18:04:35.784064835,2.4
18:04:36.863585069,2.4
18:04:37.950783618,2.4
18:04:39.010053032,2.7
18:04:40.091922537,2.4
18:04:41.174970725,54.4
18:04:42.273449107,54.7
18:04:43.372306167,46.4
18:04:44.436332169,36.6
18:04:45.568519840,19.8
18:04:46.684934977,3.6
18:04:47.735595868,3
18:04:48.800351213,2.1
18:04:49.881367851,3
18:04:50.965328498,3
18:04:52.027340997,3.3
18:04:53.114672455,1.8
18:04:54.199182985,2.7
18:04:55.261349638,2.1
18:04:56.350971046,2.4
18:04:57.429032976,4.2
18:04:58.495358655,3
18:04:59.600092550,4.2
18:05:00.679936821,36.6
18:05:01.771142660,43.7
18:05:02.888734648,61.4
18:05:03.986339184,58.2
18:05:05.151806088,55.9
18:05:06.326756417,29.5
18:05:07.525411153,10.8
18:05:08.597524119,4.2
18:05:09.674820587,7.8
18:05:10.765668741,9.8
18:05:11.876067421,3.6
18:05:12.956456867,4.2
18:05:14.020182117,2.7
18:05:15.105118737,4.8
18:05:16.205035122,2.4
18:05:17.303459809,3.3
18:05:18.368587744,2.7
18:05:19.450486029,3.6
18:05:20.538817199,3.3
18:05:21.596823463,3
18:05:22.683932136,51.1
18:05:23.823072689,36
18:05:25.039563513,48.6
18:05:26.222982636,42.1
18:05:27.369340714,4
18:05:28.473028860,2.1
18:05:29.548109978,3.9
18:05:30.630826384,2.7
18:05:31.710531345,3.3
18:05:32.781792533,4.5
18:05:33.863209026,4.5
18:05:34.919150754,2.4
18:05:36.002078102,3
18:05:37.085380013,3.6
18:05:38.143019921,4.5
18:05:39.221320406,1.8
18:05:40.304060274,3.6
18:05:41.366518225,3.9
18:05:42.445369174,38.9
18:05:43.517938346,51.2
18:05:44.693809435,47.6
18:05:45.885109398,45.8
18:05:47.018991589,19.6
18:05:48.117910107,3.9
18:05:49.194769304,3.9
18:05:50.303321693,2.7
18:05:51.361626259,3.3
18:05:52.440502597,6
18:05:53.529738612,2.1
18:05:54.585964930,3.6
18:05:55.665839079,2.7
18:05:56.773537020,3.3
18:05:57.829222184,3.3
18:05:58.905319845,2.7
18:05:59.955312802,4.2
18:06:01.034846071,3.3
18:06:02.116142610,5.4
18:06:03.222031357,57
18:06:04.317621221,55.7
18:06:05.499221668,53.3
18:06:06.638706433,59.2
18:06:07.765994283,39.3
18:06:09.002192113,12.3
18:06:10.122827380,5.4
18:06:11.216155648,5.7
18:06:12.302037865,8.3
18:06:13.358960004,6.3
18:06:14.409626880,8.1
18:06:15.514915608,4.5
18:06:16.577926944,5.4
18:06:17.665203397,4.8
18:06:18.776039546,3.6
18:06:19.857868848,3.9
18:06:20.958764070,4.5
18:06:22.021460467,3.9
18:06:23.110084384,2.1
18:06:24.188277599,7.9
18:06:25.252476553,2.4
18:06:26.331645519,4.5
18:06:27.408745288,3.9
18:06:28.476314519,3.9
18:06:29.555023427,4.2
18:06:30.655094150,2.1
18:06:31.713103379,3.3
18:06:32.795589023,4.2
18:06:33.880015910,2.1
18:06:34.947634251,3.3
18:06:36.029157127,1.2
18:06:37.109872636,3.9
18:06:38.216795712,4.2
18:06:39.286102948,5.3
18:06:40.366202097,3.3
18:06:41.463203452,4.2
18:06:42.518607957,3.9
18:06:43.599715131,2.1
18:06:44.678333315,2.7
18:06:45.736016635,1.8
18:06:46.813673894,3.9
18:06:47.911829104,2.4
18:06:48.976671523,4.8
18:06:50.054964044,2.4
18:06:51.135331401,2.4
18:06:52.207361668,5.1
18:06:53.292241981,2.1
18:06:54.345792224,4.2
18:06:55.425784874,2.7
18:06:56.502111083,4.8
18:06:57.608887060,3.3
18:06:58.713560458,1.8
18:06:59.773071113,3.3
18:07:00.855733533,3.9
18:07:01.937255253,2.7
18:07:03.002843596,4.5
18:07:04.087816652,4.2
18:07:05.168388002,3.3
18:07:06.238519545,2.1
18:07:07.324480158,1.5
18:07:08.404744528,3.3
18:07:09.473165960,4.2
18:07:10.553278056,2.1
18:07:11.634240452,2.4
18:07:12.695242996,6
18:07:13.773344564,3.6
18:07:14.855847958,3.6
18:07:15.925088982,3
18:07:17.006965308,2.7
18:07:18.088870368,1.5
18:07:19.153472204,2.4
18:07:20.233073469,3
18:07:21.336501234,3.9
18:07:22.398566031,6.9
18:07:23.478596414,4.8
18:07:24.558719855,2.1
18:07:25.629671675,3.3
18:07:26.708940548,6.2
18:07:27.809640335,1.8
18:07:28.866494281,3.6
18:07:29.955156429,1.8
18:07:31.037116498,5.1
18:07:32.094440867,3.3
18:07:33.171008535,3.9
18:07:34.257364356,1.8
18:07:35.328016184,3
18:07:36.413336447,2.4
18:07:37.494548446,3.3
18:07:38.554386169,2.1
18:07:39.634568236,2.1
18:07:40.739073622,7.1
18:07:41.797542542,3.3
18:07:42.880357124,8
18:07:43.960383242,1.2
18:07:45.021792752,2.1
18:07:46.101281543,4.2
18:07:47.203835364,2.7
18:07:48.264104666,3
18:07:49.345844617,3
18:07:50.398549638,3.6
18:07:51.475725684,6.6
18:07:52.558564864,4.2
18:07:53.620289668,2.1
18:07:54.705572004,4.5
18:07:55.808584710,3.3
18:07:56.897139372,4.5
18:07:57.954989308,3
18:07:59.037419746,3.3
18:08:00.115595984,3.3
18:08:01.220278252,3.9
18:08:02.292039642,6
18:08:03.370870055,4.2
18:08:04.424110142,2.7
18:08:05.502340418,4.2
18:08:06.583256680,3.6
18:08:07.645698791,2.7
18:08:08.726223042,4.5
18:08:09.805707326,3.6
18:08:10.873397173,3
18:08:11.957046495,4.8
18:08:13.061000777,6.3
18:08:14.159912107,3
18:08:15.260098270,3.3
18:08:16.324460893,2.7
18:08:17.401685947,2.7
18:08:18.454539070,3.3
18:08:19.531411177,5.7
18:08:20.630149602,3.9
18:08:21.691931414,3.9
18:08:22.778563878,4.2
18:08:23.862247462,1.5
18:08:24.924395586,2.4
18:08:26.001402762,3.3
18:08:27.080767223,5.9
18:08:28.184741500,1.8
18:08:29.261019566,4.8
18:08:30.338295381,2.1
18:08:31.399324560,4.5
18:08:32.479998015,4.9
