hora,e_core,e_ram,cpu,mem_used
05:10:12.396801607,0.37,0.29,2,2089144
05:10:13.717425216,0.39,0.30,0,2085240
05:10:15.042265034,0.30,0.31,0,2081692
05:10:16.378895870,0.07,0.30,0,2080636
05:10:17.726122407,0.09,0.29,0,2080724
05:10:19.080158443,0.17,0.30,0,2080408
05:10:20.421746437,0.08,0.29,0,2080608
05:10:21.779264097,0.07,0.29,0,2079848
05:10:23.131695492,0.20,0.29,0,2079420
05:10:24.480007304,0.07,0.29,0,2077616
05:10:25.835457418,0.14,0.30,3,2076352
05:10:27.183583307,0.19,0.31,1,2074908
05:10:28.531399828,0.18,0.34,1,2074368
05:10:29.883343349,0.16,0.34,1,2073900
05:10:31.235539206,0.31,0.30,0,2072472
05:10:32.584521355,0.16,0.31,2,2070412
05:10:33.932415518,0.14,0.31,1,2068780
05:10:35.278117239,0.14,0.31,0,2064740
05:10:36.621635251,0.11,0.29,0,2066548
05:10:37.966414077,0.08,0.29,0,2066036
05:10:39.323872361,0.08,0.29,0,2065500
05:10:40.674568082,0.11,0.29,0,2065996
05:10:42.027421793,0.08,0.29,0,2065236
05:10:43.377300372,1.55,0.32,0,2065136
05:10:44.731882177,0.09,0.29,0,2061272
05:10:46.080953427,0.10,0.29,0,2060012
05:10:47.431800689,0.26,0.35,3,2058896
05:10:48.784305772,0.19,0.32,1,2059348
05:10:50.134250860,0.20,0.33,1,2058484
05:10:51.487354526,0.17,0.32,2,2057152
05:10:52.834588199,0.14,0.32,1,2055772
05:10:54.187733548,0.14,0.31,1,2052476
05:10:55.534911111,0.29,0.32,1,2050580
05:10:56.891200271,0.09,0.29,0,2049776
05:10:58.243855297,0.09,0.29,0,2049488
05:10:59.596903308,0.09,0.30,0,2049536
05:11:00.952077581,0.07,0.29,1,2050064
05:11:02.299681455,0.10,0.29,0,2049536
05:11:03.648574167,0.08,0.30,0,2049716
05:11:05.009932229,0.12,0.30,0,2046092
