horaEjecucion,cpu,mem_used
09:26:27.703907222,1.3,858788
09:26:29.186685112,1,858648
09:26:30.636879622,1,858864
09:26:32.144597648,1.4,858712
09:26:33.639700737,1,858712
09:26:35.149818386,1.4,858920
09:26:36.706866218,1,858804
09:26:38.237182569,1,858696
09:26:39.796591535,1,858696
09:26:41.353865720,1.4,858564
09:26:42.906375761,1,858704
09:26:44.420587555,1,858588
09:26:45.929178075,1,858596
09:26:47.455094186,1,858892
09:26:48.958120410,1,858844
09:26:50.468544098,1,859036
09:26:52.026312341,0.7,859012
09:26:53.561554290,1,858796
09:26:55.119280450,1,858764
09:26:56.626016290,1,858968
09:26:58.134693006,1,858928
09:26:59.667593247,0.7,858880
09:27:01.175710799,1,858944
09:27:02.687246146,0.7,858712
09:27:04.187046863,1,858904
09:27:05.694581032,1.4,858836
09:27:07.253523903,0.7,858944
09:27:08.740490569,1,858912
09:27:10.194758648,1.7,864288
