horaEjecucion,tiempo(segundos),dcache_load_misses,dcache_loads,L1_dcache_stores,LLC_loads,cycles,instructions,cache_misses,all_per_cache,cache_references,branches,per_cpu
12:36:59.019242774,0.25,92358,5375207,5277623,520096,50258325,18138346,279826,3.300,8480137,2176191,8.39
12:37:01.397528829,0.25,105586,5769803,7974867,1155623,26948299,11741714,95871,1.748,5483621,1420260,7.63
12:37:03.727849501,0.25,260794,7950365,5600922,594920,27285143,11658957,93123,1.719,5417033,1417037,8.01
12:37:06.032871535,0.25,100200,5723747,5724020,611395,28294862,12241155,103847,1.847,5623740,1486039,6.08
12:37:08.381877533,0.25,103385,5620192,5884274,665677,28902393,12338268,102333,1.785,5732121,1496081,4.80
12:37:10.826316102,0.25,117023,5942702,7541015,880741,28596815,12307359,99363,1.755,5660415,1487561,7.61
12:37:13.232661494,0.25,99569,5704872,6370896,671949,57437233,19623226,274402,3.020,9085959,2382393,7.20
12:37:15.847020103,0.25,3176803,79278510,10788763,1638411,58462823,20148433,277509,2.932,9465936,2402429,6.64
12:37:18.387306343,0.25,204114,8004315,6705255,785118,90895166,33066518,473627,3.034,15608376,3942432,4.37
12:37:20.759917940,0.25,104691,5468902,7977750,987508,27441155,11986705,98727,1.815,5438349,1462191,4.66
12:37:23.096611938,0.25,114299,5815211,5710898,610702,28529403,12004046,109203,1.956,5583736,1448791,8.19
12:37:25.510068877,0.25,108874,5936188,5831327,652118,26576981,11565664,97021,1.798,5397533,1404431,7.08
12:37:27.872634428,0.25,119227,6004501,5440653,560670,29643019,12703485,111544,1.897,5881325,1536083,7.37
12:37:30.277507742,0.25,110037,5787682,5805656,628254,34237473,13966241,143698,2.254,6375072,1673535,7.05
12:37:32.662321366,0.25,106491,5689877,5981673,684383,29113798,12426014,114042,1.959,5820056,1504034,4.59
12:37:35.014231608,0.25,119019,5988106,86882316,17067590,593255445,168714495,3182837,3.790,83988243,17550563,5.66
12:37:37.663221821,0.25,116684,5970855,6662582,852988,29253777,12480273,106490,1.843,5779080,1514822,6.93
12:37:40.078146314,0.25,484721,17492237,5624078,597212,28038513,12388101,106035,1.881,5636887,1515497,7.86
12:37:42.424424402,0.25,113537,5831725,5409131,558376,29278512,12366720,107462,1.887,5695125,1509284,7.84
12:37:44.802820453,0.25,117307,5889636,5695000,636898,27186423,11606241,93914,1.767,5316137,1415104,4.83
12:37:47.107530443,0.25,114926,6255764,5943530,651721,29671092,12825459,111215,1.900,5852821,1551391,8.64
12:37:49.510745188,0.25,93578,5384537,17189369,1891062,47410613,16238161,259273,3.332,7781949,1939045,7.12
12:37:51.834276769,0.25,101442,5643086,7806812,1142863,29289975,12712385,106458,1.818,5856620,1536552,7.04
12:37:54.141096321,0.25,252441,8163737,5414293,547760,30628535,13209507,116716,1.930,6045980,1592980,0.43
12:37:57.000321146,0.25,95385,5475323,5964323,660432,29139487,12417056,102824,1.802,5707300,1514051,5.31
12:37:59.349246910,0.25,102987,5644132,5824989,665448,81348080,41874979,371550,2.146,17317620,5005565,7.32
12:38:01.653291609,0.25,107613,5751684,5819377,645953,52170343,16760022,262970,3.310,7945280,1996604,7.78
12:38:04.010705007,0.25,111826,5839274,7903932,1132520,27594540,12117096,99957,1.801,5550010,1470622,7.18
12:38:06.371516909,0.25,256743,7772201,5895670,673856,26745192,11659726,93413,1.739,5371535,1424516,7.15
12:38:08.769472110,0.25,116131,5846919,5851381,654330,31512146,13497263,110367,1.806,6110685,1645419,7.15
12:38:11.264609444,0.25,117805,6077124,5988071,681867,28355483,12900333,112249,1.899,5911438,1559244,6.62
12:38:13.694384088,0.25,98764,5625670,5852150,635712,51768286,16993621,260304,3.229,8062592,2028841,7.40
12:38:16.387511846,0.25,3203227,79498710,9334596,1197502,33408539,12438815,115149,1.991,5783218,1503889,3.39
12:38:18.945715832,0.25,260944,9311868,11207308,1811390,29410995,12316793,106132,1.879,5647696,1502208,6.35
12:38:21.432029249,0.25,126183,5966764,5841515,654992,29709901,12313832,109088,1.909,5713354,1499881,6.83
12:38:23.799936599,0.25,110722,5758474,5667395,600727,50030225,16293990,239912,3.158,7596439,1963743,8.16
12:38:26.150349226,0.25,105487,5792276,7565992,1056598,27413962,11844821,105822,1.929,5486974,1426853,6.22
12:38:28.462082966,0.25,283858,8713633,5790467,644134,26174727,11552961,87884,1.653,5315438,1411288,2.85
12:38:31.113333734,0.25,207957,8347125,5581925,590669,29229902,12946657,117115,1.968,5951303,1555951,4.26
12:38:33.573535254,0.25,104479,5718819,5923528,644026,28369239,12429287,100664,1.758,5726045,1514373,7.25
12:38:35.929917690,0.25,3690821,94706949,88710574,17097122,177792482,50542144,786427,3.244,24241388,5802386,7.00
